,Unnamed: 0,Unnamed: 0.1,Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
0,0,0,com.kai.kaiticketing,88.0,4.4.7,id,ginkgo,5,1619828399332,2021-05-01T00:19:59Z,1619828399332,5,,Aplikasi nya bagus dan mantap banget....,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEJ4mUL1R3QBLD061scR1giaP1AKY1o3_7RQGYSKnFuZcW4HGbvCoJiCrXscYPl_GAX9haK_kxNm7WY&corpus=PUBLIC_REVIEWS
1,1,1,com.kai.kaiticketing,85.0,4.4.4,id,CPH1909,5,1619828754712,2021-05-01T00:25:54Z,1619828754712,5,,,,,,
2,2,2,com.kai.kaiticketing,88.0,4.4.7,id,1807,5,1619828934962,2021-05-01T00:28:54Z,1619828934962,5,,,,,,
3,3,3,com.kai.kaiticketing,88.0,4.4.7,id,whyred,5,1619828995343,2021-05-01T00:29:55Z,1619828995343,5,,,,,,
4,4,4,com.kai.kaiticketing,86.0,4.4.5,id,gtexslte,5,1619833870187,2021-05-01T01:51:10Z,1619833870187,5,,,,,,
5,5,5,com.kai.kaiticketing,86.0,4.4.5,id,begonia,5,1619840540313,2021-05-01T03:42:20Z,1619840540313,5,,,,,,
6,6,6,com.kai.kaiticketing,88.0,4.4.7,id,CPH1909,5,1619842961410,2021-05-01T04:22:41Z,1619842961410,5,,,,,,
7,7,7,com.kai.kaiticketing,,,id,a70q,5,1619844492959,2021-05-01T04:48:12Z,1619844492959,5,,,,,,
8,8,8,com.kai.kaiticketing,88.0,4.4.7,id,RMX2170L1,5,1619846198046,2021-05-01T05:28:10Z,1619846890359,5,,"KAI Access memang oke, beli tiket jadi mudah tinggal klik dari HP tak perlu harus ke loket. Awalnya memang agak ribet namun jika sudah sukses melakukan satu transaksi maka selanjutnya jadi mudah. Saat lupa password juga mudah, tinggal reset di lupa password....yang penting emailnya aktif terimakasih",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOGoN7M7TuCVTINbdjWyKTUpiYDv3NRqBP0TTtsDbjjQ5kC0m_O3jJBkCRhLT7f7ysi6Lbo4xGiDpny_&corpus=PUBLIC_REVIEWS
9,9,9,com.kai.kaiticketing,86.0,4.4.5,id,a50s,5,1554014309866,2021-05-01T05:39:18Z,1619847558539,4,,,,,,
10,10,10,com.kai.kaiticketing,88.0,4.4.7,id,CPH1729,5,1619851788865,2021-05-01T06:49:48Z,1619851788865,5,,,,,,
11,11,11,com.kai.kaiticketing,88.0,4.4.7,id,2027,5,1619853013245,2021-05-01T07:11:14Z,1619853074888,5,,GILAAA KEREN KAI ACC INI SEKARANG SANGAT MEMPERMUDAH UNTUK MEMBAYAR MAKASIHHH BANGET TOLONG TETEP SEPERTI INJ AJA YAAA SOALNYA SANGAT MUDAH DAN GAK RIBET ✨✨😭🙏💕💖,2021-05-01T07:17:13Z,1619853433907.0,woooo makasih ya kak review-nya 😍😍,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHvVtoqXr5K3EpDoutr7PJYJSAwBaTq_k1s94ho3So53-dw2yvev5g2nQNh9qw528EiFzECXrHXJbNy&corpus=PUBLIC_REVIEWS
