,Unnamed: 0,Unnamed: 0.1,Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
0,0,0,com.kai.kaiticketing,66.0,4.2.0,en,lucye,2,1612138044808,2021-02-01T00:07:24Z,1612138044808,5,,,,,,
1,1,1,com.kai.kaiticketing,81.0,4.4.1,id,1606,2,1612138403030,2021-02-01T00:13:23Z,1612138403030,5,,,,,,
2,2,2,com.kai.kaiticketing,66.0,4.2.0,en,beyond2,2,1612146746652,2021-02-01T02:32:26Z,1612146746652,5,,,,,,
3,3,3,com.kai.kaiticketing,,,id,j3y17lte,2,1612149133075,2021-02-01T03:12:13Z,1612149133075,4,,,,,,
4,4,4,com.kai.kaiticketing,,,id,1938,2,1612151040828,2021-02-01T03:44:00Z,1612151040828,1,,"Mau download dari kemarin gak bisa""",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHXVJ1vYcD8WnxTdUOmt2zYs8r55JWcfrvYpQfbJeqcjdsdPhPZf8tEsHZohZuFvg7xxLtDs2fZkMk5&corpus=PUBLIC_REVIEWS
5,5,5,com.kai.kaiticketing,84.0,4.4.3,id,jackpotlte,2,1612153318727,2021-02-01T04:21:58Z,1612153318727,4,,,,,,
6,6,6,com.kai.kaiticketing,81.0,4.4.1,id,1727ID,2,1612169125693,2021-02-01T08:45:28Z,1612169128210,5,,Mantap ga ribet,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEsi3H7NGKWac7IsPhnCYAO6ecPkZL587co1Q4rdYBWSfJPMfNKPiBexroi7C95PKzaUO1mDg9molZM&corpus=PUBLIC_REVIEWS
7,7,7,com.kai.kaiticketing,73.0,4.3.3,ar,RMX1941,2,1612169719343,2021-02-01T08:55:19Z,1612169719343,4,,تطبيقات رائعة,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHpOQG4sCxUwNTJKqvC7d3S1GbvNH4qYfYMkZpFIt8EQ5FIx2Yzi1yaoaOfii640tLluzPxqv0RtgKj&corpus=PUBLIC_REVIEWS
8,8,8,com.kai.kaiticketing,73.0,4.3.3,id,a70q,2,1612182286307,2021-02-01T12:24:46Z,1612182286307,5,,,,,,
9,9,9,com.kai.kaiticketing,,,id,a20s,2,1612186676818,2021-02-01T13:37:56Z,1612186676818,4,,Kenapa jadwal KA lebaran 2021 belum keluar?,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEL9EQpztK1clF76NoyVp5zy8e1InC_I4oZP_rcbgCZMb-a7gh9AqHSz-75doPkTGoRn1yClxVBYzLb&corpus=PUBLIC_REVIEWS
