,Unnamed: 0,Unnamed: 0.1,Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
882,882,882,com.kai.kaiticketing,90.0,4.4.9,id,olivelite,6,1624352390623,2021-06-22T08:59:50Z,1624352390623,5,,"Apklikasi nya OK bnget, praktis ga perlu antri..!!",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOG_2WU5G-DHQnJUeqfb9tJ8qbwtAF_HNEIlEIPZzAqLwLB_P-8EeKBoYsDaRmXpgIDjyxBmv7ym3UYW&corpus=PUBLIC_REVIEWS
883,883,883,com.kai.kaiticketing,63.0,4.0.1,id,OP4C7D,6,1624352601275,2021-06-22T09:03:21Z,1624352601275,5,,,,,,
884,884,884,com.kai.kaiticketing,88.0,4.4.7,id,1951,6,1624353803271,2021-06-22T09:23:23Z,1624353803271,5,,,,,,
885,885,885,com.kai.kaiticketing,88.0,4.4.7,id,A37f,6,1624354965460,2021-06-22T09:42:45Z,1624354965460,5,,,,,,
886,886,886,com.kai.kaiticketing,,,id,ASUS_X00T_2,6,1624356155551,2021-06-22T10:02:35Z,1624356155551,5,,,,,,
887,887,887,com.kai.kaiticketing,90.0,4.4.9,id,CPH1901,6,1624359655477,2021-06-22T11:00:55Z,1624359655477,1,,"Maaf saya kasih bintang 1 saya sulit sekali buat daftar akun, nomer udh sesuai sama email juga udh udh bener tpi di klik lanjut gk terjadi apa2",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEU21CTJdyShmUf2eKooz-J43tOG-N7iFPS3JxZTtEQazfiGrpIu7MNLu95Z3rtLipa0PbyynCyjkM1&corpus=PUBLIC_REVIEWS
888,888,888,com.kai.kaiticketing,,,en,a10,6,1624360796974,2021-06-22T11:19:56Z,1624360796974,5,,,,,,
889,889,889,com.kai.kaiticketing,90.0,4.4.9,id,OP4C51L1,6,1624367185504,2021-06-22T13:06:25Z,1624367185504,1,,Aplikasi kok susah di akses,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOGhyZtaixyOSS9oT2xzyQsyNEOhWmPJPjElZPN2hzwvS1NoBoOjmRoSNiiaerDfV1cDdGKg8NtSfWW1&corpus=PUBLIC_REVIEWS
890,890,890,com.kai.kaiticketing,85.0,4.4.4,id,whyred,6,1624369228599,2021-06-22T13:40:28Z,1624369228599,5,,,,,,
891,891,891,com.kai.kaiticketing,90.0,4.4.9,en,a51,6,1624373370187,2021-06-22T14:49:30Z,1624373370187,4,,,,,,
892,892,892,com.kai.kaiticketing,88.0,4.4.7,id,a10s,6,1624379816458,2021-06-22T16:36:56Z,1624379816458,1,,"Th 2019 pernah download dan saya hapus tp belum sempat daftar. 2021 saya download aplikasi KAI lg. Mau daftar tapi kenapa selalu tidak bisa uda masukin email, no hp segala macam. Password jg uda dikombinasi dan muncul tulisan time out??? Tolong plisss saya butuh aplikasi ini banget. Tolong diperbarui agar konsumen mudah untuk mengaksesnya. Terimakasih jika sempat menanggapi. 😊",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOG_HGhxxkqc2GJuLS7tbUourdtYYLQaPRb3QRJ3WkkqzXaBA4QpDmPlp2AcWTvZv9coFkiaK_XCvf10&corpus=PUBLIC_REVIEWS
893,893,893,com.kai.kaiticketing,90.0,4.4.9,id,a11q,6,1624381501175,2021-06-22T17:05:01Z,1624381501175,5,,,,,,
894,894,894,com.kai.kaiticketing,90.0,4.4.9,id,rosy,6,1624389487484,2021-06-22T19:18:07Z,1624389487484,5,,"Terima kasih atas pelayanan dari costamer servis, saya sangat terbantu saat lupa sandi akun saya, saya akan selalu gunakan aplikasi ini setiap perjalan .. kalau ada keluhana lansung di tanggapi saya suka profesional nya",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEs8hdBC4CjOAt9G7BNUK8AgmJ-vX1CbozXmD2V8YPokNrGi58GRQlMjz_Dmw4LRwoTY-U-2iaAUKUJ&corpus=PUBLIC_REVIEWS
895,895,895,com.kai.kaiticketing,90.0,4.4.9,id,A37f,6,1624393015708,2021-06-22T20:18:31Z,1624393111262,2,,"Sayang sekali, hanya utk pesan tiket harus dibatasi waktu. Baru selesai masukkan nama-nama penumpang dan pilih-pilih kursi, tapi begitu mau pilih metode pembayaran, udah kadaluarsa. Bagimana ini???? Apakah utk pesan tiket, calon penumpang gak boleh mikir dulu, gak boleh buka ktp dulu, dan gak boleh lihat isi dompet dulu???",2021-06-24T02:10:50Z,1624500650778.0,"halo kak, untuk hal tersebut kakak bisa coba masukan dulu nama-nama penumpangnya di menu akun di menu daftar penumpang ya kak, nanti ketika booking kakak tinggal masukan nama-nama yang akan berangkat dari daftar penumpang yang sudah dimasukan sebelumnya",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHTA06XE71EAJkB_fBM1lqxlFESQX10VTdwiT2hx6WLVIq6Z3Umvpuy3iURpy1nopzSQ43uWyZdqyNU&corpus=PUBLIC_REVIEWS
896,896,896,com.kai.kaiticketing,90.0,4.4.9,en,1901,6,1624401072588,2021-06-22T22:31:12Z,1624401072588,2,,"Login ga bisa, daftar akun jg ga bisa dududu, ganti sandi jg ga bisa xixi",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOF-50lD0GHp_o6gR1yOdW6VRb31TdYeU1FtJ8-_EbyjCkU7Rxhx9jNurSbaNXRNBSlFy5qJlm5onpJu&corpus=PUBLIC_REVIEWS
897,897,897,com.kai.kaiticketing,90.0,4.4.9,id,a21s,6,1624406885859,2021-06-23T00:08:05Z,1624406885859,4,,👍👍👍,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEwpHXF82FleaWQm0rC46wK2ErI7hTNtJ4vzjHqq4qhp6doWQhguadnuoXomFese1Dnnc7mhwkCcw2t&corpus=PUBLIC_REVIEWS
898,898,898,com.kai.kaiticketing,,,en,a70q,6,1624408437739,2021-06-23T00:33:57Z,1624408437739,5,,,,,,
899,899,899,com.kai.kaiticketing,,,id,a10,6,1624411439147,2021-06-23T01:23:59Z,1624411439147,5,,,,,,
900,900,900,com.kai.kaiticketing,90.0,4.4.9,id,jackpotlte,6,1624412606381,2021-06-23T01:43:26Z,1624412606381,1,,"Apl yg sgt ribet sekali...saya berkali2 tdk bs login,smp sy hps apl dan sy mcba instal lgi ttp tdk bisa...lupa pasword dkirim d gmail tpi ttp tdk bisa login",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOFVS-UOYqtjKPByTldRBNsi0Vwx34TYcMOdRi_VLdmnz8u02TR8z2U8QdETuQ019eqFd0mQxUMsFASK&corpus=PUBLIC_REVIEWS
901,901,901,com.kai.kaiticketing,81.0,4.4.1,id,CPH1727,6,1624413436011,2021-06-23T01:57:16Z,1624413436011,4,,Memudahkan bepergian,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHOMaAK-ZCyEi0GzLg6ieIj6d6ygPovvrh2PYiv7PWZTrLWDkNUrPf3660phiLiKBKETvDdsAYVjcu1&corpus=PUBLIC_REVIEWS
902,902,902,com.kai.kaiticketing,90.0,4.4.9,id,RMX1971,6,1624413723377,2021-06-23T02:02:03Z,1624413723377,1,,Lemot server nya,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEdKsnaS7h-aPKxjoJtpCz2At3eFTBJYICEEpoe_zB7rYBG68uQwK0zKbKeaLmQT915P1ltsqMRnMi6&corpus=PUBLIC_REVIEWS
903,903,903,com.kai.kaiticketing,,,id,grandpplte,6,1624423755626,2021-06-23T04:49:15Z,1624423755626,3,,Tolong tingkatkan lagi. Untuk permasalahan delay saat menggunakan app dan segera tambahkan lokasi stasiun yg ada dibeberapa kota lain yg blm ditambahkan sperti cianjur misalnya,2021-06-24T02:07:58Z,1624500478976.0,"halo kak, bisa di cek di kereta lokal juga ya kak",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEKjZ8GETJmQpEvXRmRO5KDM14J3KEkefmDb4Yp3PWrBojDIs1ym7lntvYfNu8j5BBT73pDmEj_zfh_&corpus=PUBLIC_REVIEWS
904,904,904,com.kai.kaiticketing,,,id,a30,6,1624425105033,2021-06-23T05:11:45Z,1624425105033,5,,,,,,
905,905,905,com.kai.kaiticketing,90.0,4.4.9,id,1814,6,1624428502088,2021-06-23T06:08:22Z,1624428502088,5,,,,,,
906,906,906,com.kai.kaiticketing,90.0,4.4.9,id,markw,6,1608105919135,2021-06-23T06:20:36Z,1624429236399,2,,Ini knp ya aplikasinya mau nambah 1 penumpang bayi kok gak bisa.,2021-06-24T02:02:10Z,1624500130782.0,"halo kak, maksudnya nambah 1 penumpang bayinya bagaimana ya kak? apakah yang dibeli hanya penumpang bayinya saja tanpa dewasa? atau ketika pesan tiket untuk dewasa lalu ketika masukan data penumpang bayi tidak bisa? ketika tidak bisa, apakah aplikasi memberikan pesan error kak?",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHwQN_XvW_fmEQ272YJHHVN2D4YgXsNXqwYgCZyobhSicE5pUUTyy-rIXkJE1PwFTGwN1W-MWBPg2VQ&corpus=PUBLIC_REVIEWS
907,907,907,com.kai.kaiticketing,84.0,4.4.3,id,a70q,6,1624433528316,2021-06-23T07:32:08Z,1624433528316,5,,Bagus,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOGMtlQ5Qo3-fRK_kJAQGjDtS_kUpoTf5jaHNJCbDllJ95jbmDNZRsrTg7oTK7gWthk-g5p2Ewnaa9OF&corpus=PUBLIC_REVIEWS
908,908,908,com.kai.kaiticketing,88.0,4.4.7,en,a51,6,1624436133055,2021-06-23T08:15:33Z,1624436133055,5,,I like this app.. but it must very easy if that app can buy a ticket with M-Banking BCA,2021-06-24T02:00:32Z,1624500032800.0,"hallo, you can pay your ticket through M-Banking BCA with QRIS, in payment method you can choose QRIS as your payment method then scan the QRIS from your M-Banking app",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEMNlqTHJbUQqasti_7fR4UKmhqht_ZwSUJddImeVxqY0RlQyVyeZCA_FcURIrM17uYUYGPixf2C5uQ&corpus=PUBLIC_REVIEWS
909,909,909,com.kai.kaiticketing,90.0,4.4.9,id,cactus,6,1624436943531,2021-06-23T08:29:03Z,1624436943531,1,,di buat daftar registrasi usah masukin no hp & gmail gabisa di lanjut tolong min,2021-06-24T01:57:54Z,1624499874189.0,"halo kak, ketika registrasi apa nomor handphone dan emailnya sudah pernah didaftarkan sebelumnya?",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHcMAM8y8n7pVX7w2Ip7S4Pb0VScTVbdHFEBMYgG9_iqgzVUUgwPAfgdanRsonb04vlraubKJ2hc4Og&corpus=PUBLIC_REVIEWS
910,910,910,com.kai.kaiticketing,88.0,4.4.7,id,Infinix-X5515F,6,1624437761677,2021-06-23T08:42:41Z,1624437761677,5,,Sangat baik,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOG-6CPt_F-hs7B4pzSud8q8ME2vLYUMHXTpOEtEi1cOu6LUgMzo0A_LdigpaTwh3qlB-Q00UyY2wGsc&corpus=PUBLIC_REVIEWS
911,911,911,com.kai.kaiticketing,90.0,4.4.9,id,2030,6,1624438118550,2021-06-23T08:48:38Z,1624438118550,2,,Kenapa daftar msukkan hp trus emain diklik lnjut g bisa mlh diam aj,2021-06-24T01:47:35Z,1624499255841.0,"halo kak, ketika registrasi apa nomor handphone dan emailnya sudah pernah didaftarkan sebelumnya?",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOE3fUYLIO5vSZHAU6nIQCq1yl__zMr6A_HURvA4_j7OBxAKe9y4iZ6_dI3KYj9miNqTnmY67p-UtesR&corpus=PUBLIC_REVIEWS
912,912,912,com.kai.kaiticketing,90.0,4.4.9,id,1904,6,1438055483127,2021-06-23T09:25:50Z,1624440350774,4,,,,,,
913,913,913,com.kai.kaiticketing,90.0,4.4.9,id,OP4B79L1,6,1624442557592,2021-06-23T10:02:37Z,1624442557592,5,,"Untuk Saudara PT. KAI, saya mencoba registrasi kok tidak bisa? Mohon bantuannya Saudara",2021-06-24T01:24:13Z,1624497853448.0,"halo kak, kendala tidak bisa registrasinya seperti apa ya kak? bisa dijelaskan kembali?",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHcHnCl4cMq4cCHYIArUEBaM5EohyI28Us2gDHfoqiCsmq6RDzQTTsCTCvC4NNSWNqvMgKn1WmyebCo&corpus=PUBLIC_REVIEWS
914,914,914,com.kai.kaiticketing,87.0,4.4.6,id,a12,6,1624445215941,2021-06-23T10:46:55Z,1624445215941,5,,,,,,
915,915,915,com.kai.kaiticketing,,,id,riva,6,1624433589370,2021-06-23T12:20:19Z,1624450819855,1,,"Sebenarnya saya suka sekali naik kereta api, tp semenjak online membuat saya kecewa krn ribet. Berulangkali nyoba buat akun selalu ngga pernah bisa. Saya kecewa sekali.",2021-06-24T01:21:20Z,1624497680629.0,"halo kak, kendala membuat akunnya seperti apa ya kak? bisa diinfokan kembali kendalanya kak? bisa admin bantu. untuk bantuan aplikasi lebih lanjut kakak dapat menghubungi kami di email cs@kai.id atau twitter @kai121 ya kak",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOFCZXv_fHxoiWkYT_E7FzevTh9VtWPlzKJDCAp4XzrMfx5zK1cqI7xCxxsVJjWmg0aQNvDyCHiajXGm&corpus=PUBLIC_REVIEWS
916,916,916,com.kai.kaiticketing,90.0,4.4.9,id,1938,6,1624454383732,2021-06-23T13:19:43Z,1624454383732,1,,Saya ingat banget email sama pasword saya tapi selalu dibilang salah masukkan pasword. Mau bikin akun baru identitas saya sudah terdaftar. Okelah ganti pasword lewat email tapi malah gak bisa bisa dibilang no match a number etc.,2021-06-24T01:20:38Z,1624497638420.0,"halo kak, apakah email yang dimasukan huruf pertamanya huruf kapital? karena inputannya case sensitive ya kak, jadi besar kecilnya berpengaruh. apa sudah coba login dengan menggunakan nomor handphone?",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHbW_qdClj18Dnkk_p5IzGzvuEN792TMnanoNCY2Mhv6ZKZsYcoG1uC5eaj9rdQAmMK5-1map-F3nMA&corpus=PUBLIC_REVIEWS
917,917,917,com.kai.kaiticketing,90.0,4.4.9,id,j3y17lte,6,1624457247558,2021-06-23T14:07:27Z,1624457247558,1,,"Sy pesan tiket via kai access untuk orang tua saya, dan ternyta tidak bisa dibatalkan gr2 akun sy bukan salah satu penumpang dr kode booking tsb. Lha iya laah.. kan emang pesan buat ortu, jd untuk cancle harus jauh2 ke kediri krn tdk di semua stasiun bisa. Lha trus ngapain dibikin aplikasi ini??",2021-06-24T01:17:17Z,1624497437852.0,"halo kak, betul kak untuk bisa dibatalkan pemilik akun harus ada di tiket yang dibatalkan, kebijakan tersebut mengantisipasi apabila ada orang lain yg menambahkan tiket penumpang lain ke akunnya lalu dibatalkan oleh orang tidak dikenal tersebut tanpa pemilik akun ada ditiket yang ditambahkan ya kak, oleh karenanya pemilik akun harus ada pada tiket",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEVhCddWTs2ru_o1evRrnqYDV47AllTgcLQCsHbvFkrsBowutjSt45nOE3S40SUJgGMoH4mHnuCCo8R&corpus=PUBLIC_REVIEWS
918,918,918,com.kai.kaiticketing,81.0,4.4.1,en,HWJSN-H,6,1624458036387,2021-06-23T14:20:36Z,1624458036387,5,,,,,,
919,919,919,com.kai.kaiticketing,88.0,4.4.7,en,a12,6,1624458550315,2021-06-23T14:29:10Z,1624458550315,5,,,,,,
920,920,920,com.kai.kaiticketing,90.0,4.4.9,id,1611,6,1624459123621,2021-06-23T14:38:43Z,1624459123621,1,,"Download aplikasi ini awalnya semangat, tapi begitu harus registrasi dahulu susahnya minta ampun, klik lanjutkan itu ga ada prosesnya sama sekali, diulang sampai 5x juga tetap sama. Di hari berbeda juga tetap sama ga bisa di klik lanjutkan. jadi bete banget. Aplikasinya gak bagus banget, menyusahkan",2021-06-24T01:10:40Z,1624497040781.0,"halo kak, apa email dan nomor handphone yang dimasukan sudah pernah didaftarkan sebelumnya?",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEaE8w3k1fUSLyw9tAyP7dZP0xSAb5EwNBBLyCsghslvw0RRn7kfSaUI1v6iRiM3RxvKYl7ridAbgpo&corpus=PUBLIC_REVIEWS
921,921,921,com.kai.kaiticketing,90.0,4.4.9,id,a5y17lte,6,1624460490160,2021-06-23T15:02:08Z,1624460528082,3,,Pembayaran bisa ditambahin dong.lewat SALDO DANA ATO OVO ATO BANK BCA. Jangan cuma lewat LINK AJA DAN MANDIRI DEBIT,2021-06-24T01:09:39Z,1624496979697.0,"halo kak, untuk pembayaran seperti dana, ovo atau bank bca bisa dicoba menggunakan metode pembayaran QRIS ya kak, nanti qrisnya discan di aplikasi pembayarannya",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHUINszGfw84ZcahnWhDJ6m5ARhKrmBTY308b5IwwCIBG6eH4b9nCUHPOT0BJIrV7T2sEyGrAAFz9YV&corpus=PUBLIC_REVIEWS
922,922,922,com.kai.kaiticketing,90.0,4.4.9,id,OP4F2F,6,1624460637936,2021-06-23T15:03:57Z,1624460637936,1,,Saya mau membuat akun nggak bisa tombol lanjutkan dipencet tetap aja nggak bisa melanjutkan,2021-06-24T01:00:32Z,1624496432450.0,"halo kak, apakah email dan nomor handphonenya sebelumnya sudah pernah didaftarkan?",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOFY0nX30qbOuRvMnr3iBqWjeJmPyIf7cbw66tVdmX5DQ1AehEGkUROYI4IriDffakUGQp5I3xoWwiRI&corpus=PUBLIC_REVIEWS
923,923,923,com.kai.kaiticketing,90.0,4.4.9,id,lime,6,1624460958313,2021-06-23T15:09:18Z,1624460958313,4,,,,,,
924,924,924,com.kai.kaiticketing,90.0,4.4.9,id,V3921,6,1624462906834,2021-06-23T15:41:46Z,1624462906834,5,,bagusmempermudah pembelian tiket,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOE6SXu2Jb9iJY65D3UPkhRU20gsmxBGUJKIct0x2_D0N_wQ0gVHbr3p98ofvbEAm7Y7OjuQxnTYShxc&corpus=PUBLIC_REVIEWS
925,925,925,com.kai.kaiticketing,90.0,4.4.9,id,le_s2_ww,6,1624464119342,2021-06-23T16:01:59Z,1624464119342,2,,"* Aplikasi KAI ACCESS ,Selalu mengalami gagal ketika sdh diisi Lengkap. .Sampai perintah Lanjut. .terus berhenti. .Selalu begitu. . ., Jadi membosankan. .!!!*",2021-06-24T00:42:00Z,1624495320393.0,"halo kak, gagal ketika diisi lengkap ketika apa ya kak? bisa diinfokan kembali kendalanya lebih detil kak? ketika akan melakukan apa dan pada halaman apa ya kak?",http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHQag1V2H2hTlo06sizgZA1Lar07mParCIsSMoIpwhIp-7MaYJIelfWPcHp1WzPRyAcSsCosXx1H0Iu&corpus=PUBLIC_REVIEWS
926,926,926,com.kai.kaiticketing,90.0,4.4.9,id,sweet,6,1624464445012,2021-06-23T16:07:25Z,1624464445012,5,,,,,,
