,Unnamed: 0,Unnamed: 0.1,Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
0,0,0,com.kai.kaiticketing,84.0,4.4.3,id,hermes,1,1609459964493,2021-01-01T00:12:44Z,1609459964493,5,,Kok bisa login ini gimana,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOFpck-SI7Q5k7Hrfl4A3OHTH6HknTb78XPXfjKqRINjiE33WlqT9A0vjyQunpXV5M58nguP7t3ooCle&corpus=PUBLIC_REVIEWS
1,1,1,com.kai.kaiticketing,84.0,4.4.3,id,2006,1,1609462099700,2021-01-01T00:48:19Z,1609462099700,1,,Pesanan hanya untuk pribadi mw pesan sekeluarga tidak bisa lebih dari 4,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHWbXEkaqlEhet7fvkfClmQjVbiyLUUeup39-vq5tIfwy4g9psrwyMDWbebPLxREYZdY9vXiekdL_o5&corpus=PUBLIC_REVIEWS
2,2,2,com.kai.kaiticketing,81.0,4.4.1,id,ginkgo,1,1609463259630,2021-01-01T01:07:39Z,1609463259630,2,,mungkin bisa ditingkatkan agar pembayaran via link aja tidak harus nomor yg sama dg yg didaftarkan di kai access,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEZUPFFsNIqWjn3MyYSMM7JcMWxv_KA7ZGTSIZ-ZBdcIFl5ol4L0MzDly0QPZGT-RrPc4ARXSUqy_ur&corpus=PUBLIC_REVIEWS
3,3,3,com.kai.kaiticketing,55.0,1.6.1.1,id,tulip,1,1609465983214,2021-01-01T01:53:03Z,1609465983214,5,,,,,,
4,4,4,com.kai.kaiticketing,84.0,4.4.3,id,jackpot2lte,1,1609467914603,2021-01-01T02:25:14Z,1609467914603,5,,,,,,
5,5,5,com.kai.kaiticketing,66.0,4.2.0,id,K33a42,1,1609470998202,2021-01-01T03:16:38Z,1609470998202,5,,Keren,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHsYo6xz4OUDVWpfiBNOAz6gHQJH_bfUoPPLfQ-WfOhuSqZPI0MYHJmVnthogQdqMO49a74ywyLkGXM&corpus=PUBLIC_REVIEWS
6,6,6,com.kai.kaiticketing,84.0,4.4.3,id,j5y17ltedx,1,1551909760656,2021-01-01T03:19:09Z,1609471149041,1,,"Gak bisa di buka, di layar cuma ngeblank warna putih doang terus di tungguin juga lama buannnngggggettt sampek 30 menit juga belum kelar-kelar..........SANGAT MENGECEWAKAN",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOG7zwtNrsUEdiWRMuT7r48dAGDPFYDwuLr-ksxLEQPmI5o9sLkk1rmWXH6MFzqPgnv2dsn7eYAgxCIG&corpus=PUBLIC_REVIEWS
7,7,7,com.kai.kaiticketing,81.0,4.4.1,en,a30s,1,1609473810975,2021-01-01T04:03:30Z,1609473810975,5,,,,,,
8,8,8,com.kai.kaiticketing,70.0,4.3.1,en,F5122,1,1609474783413,2021-01-01T04:19:43Z,1609474783413,4,,,,,,
9,9,9,com.kai.kaiticketing,64.0,4.0.1,id,ASUS_X00T_3,1,1609479565606,2021-01-01T05:39:26Z,1609479566909,5,,Baik,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHsvaeUrOp3o26Vx2ANtwIyXdsrnr4i3Yvo1vF8kRcKxePWtOZxynAfQSAb8FhXn9lPCjdhhyG7cl3B&corpus=PUBLIC_REVIEWS
10,10,10,com.kai.kaiticketing,63.0,4.0.1,en,mido,1,1609480054471,2021-01-01T05:47:34Z,1609480054471,5,,,,,,
11,11,11,com.kai.kaiticketing,,,id,onc,1,1608809239104,2021-01-01T06:44:38Z,1609483478903,1,,"saya ga bisa login,trus gimana cara ganti emailnya",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHuam3OUxamkcCONFe1kte3u5IQMlgMyg24XYzevR9_bWhd1OxQwfaRaXwfbXC8pC-3U9MLQuRaSZPt&corpus=PUBLIC_REVIEWS
