,Unnamed: 0,Unnamed: 0.1,Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
0,0,0,com.kai.kaiticketing,38.0,1.4.4.3,en,a50s,3,1614557929355,2021-03-01T00:18:49Z,1614557929355,5,,,,,,
1,1,1,com.kai.kaiticketing,85.0,4.4.4,id,ugg,3,1614560089056,2021-03-01T00:54:49Z,1614560089056,2,,"Jadwal kereta lokal surabaya-malang tidak semua nampak di aplikasi. Hanya ada 3 pemberngkatan saja, realtime y ada 5 jdwal keberangkatan",,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHInPw23gfm_ogqrAdTRrHg0FHxPTwJm4fN--KyfkXkTxWKSEUY9VvL8i2yvJbxTvAN4XPwL7IYyovh&corpus=PUBLIC_REVIEWS
2,2,2,com.kai.kaiticketing,85.0,4.4.4,id,CPH1801,3,1614563265194,2021-03-01T01:47:45Z,1614563265194,4,,Sangat membantu,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOG57FFHwN-ByGfxykGtQaFu8Js8TGyb12Gt7p2q2Fma4jjSTODFTjnyJMn-nlf776tkWKYoMT-Fuxa9&corpus=PUBLIC_REVIEWS
3,3,3,com.kai.kaiticketing,,,id,1817,3,1614565595470,2021-03-01T02:26:35Z,1614565595470,5,,,,,,
4,4,4,com.kai.kaiticketing,85.0,4.4.4,en,ginkgo,3,1614572976968,2021-03-01T04:29:36Z,1614572976968,3,,Tolong perbaiki layanan pembatalan tiket dan perubahan jadwal tiket. Saya sudah beli tapi tidak bisa dirubah atau di batalkan.,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOH4xpATbtGrAbfDRTt_-7cAzIRckcUG4w29OtxLcqLxZ9kulO1CzuN4W-QSKxOIZ5wil6el4a_yXsJL&corpus=PUBLIC_REVIEWS
5,5,5,com.kai.kaiticketing,85.0,4.4.4,id,EVERCOSS_M50A,3,1614577152314,2021-03-01T05:39:12Z,1614577152314,5,,Bagus membantu,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOExx9s1I99OUc2uQs2EL7Proq8EJimA0hb9y3vRZ3o8L5uKgQ33JWG0vPuCgInbxvzmypiQ6Q_sshE3&corpus=PUBLIC_REVIEWS
6,6,6,com.kai.kaiticketing,,,en,j7y17lte,3,1614578630757,2021-03-01T06:03:50Z,1614578630757,4,,Kok tidak ada lagi pembayaran via BCA..???,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOGyhHa1fWScPuaQa20YoPRm3cMvYbjDXqAkyhZd5qUqoLI05ZV8BlNsU7-Ilk2EGohjS_DmqBlonGwY&corpus=PUBLIC_REVIEWS
7,7,7,com.kai.kaiticketing,,,id,A33w,3,1614584832502,2021-03-01T07:47:12Z,1614584832502,5,,,,,,
8,8,8,com.kai.kaiticketing,,,id,1601,3,1614585054846,2021-03-01T07:50:54Z,1614585054846,1,,Banyak bugs,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOFOttCQuKfDAHQ5IuF4j01ezdlGgClhhaL4vmN_UaTnqcvzJ3TIfOARQ3DujzQXGvZ_pQfM0Up1WfcK&corpus=PUBLIC_REVIEWS
9,9,9,com.kai.kaiticketing,85.0,4.4.4,id,1938,3,1614586249038,2021-03-01T08:10:49Z,1614586249038,5,,,,,,
