,Unnamed: 0,Unnamed: 0.1,Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
0,0,0,com.kai.kaiticketing,92.0,4.5.1,id,lavender,9,1630460643206,2021-09-01T01:44:03Z,1630460643206,4,,,,,,
1,1,1,com.kai.kaiticketing,93.0,4.6.0,id,ASUS_X01BD_2,9,1630462181768,2021-09-01T02:09:41Z,1630462181768,5,,,,,,
2,2,2,com.kai.kaiticketing,92.0,4.5.1,en,m11q,9,1615796946385,2021-09-01T02:12:12Z,1630462332896,4,,Bagus,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOHeb5ke_rNRjQM2mPsxh-sTfMi4Tgw9relRSYwPyrlI4_3qnsZKKCeE1hd5c3zLxriOZ69tHbpTJB99&corpus=PUBLIC_REVIEWS
3,3,3,com.kai.kaiticketing,92.0,4.5.1,id,citrus,9,1630464468349,2021-09-01T02:47:48Z,1630464468349,5,,,,,,
4,4,4,com.kai.kaiticketing,92.0,4.5.1,en,HWHRY-HF,9,1507434016959,2021-09-01T02:51:13Z,1630464673678,4,,"Aplikasi update terbaru lebih joss... tampilannya. Lebih joss lagi apabila ketika update aplikasi KAI Access, developer mengupdate di Play Store, App Store dan AppGallery bersamaan. Untuk update di AppGallery saya melihat masih sering delay atau kurang update. Guna mengakomodir pengguna KAI yang memiliki perangkat Huawei, saya rasa diperlukan dukungan update di Huawei AppGallery. Terima kasih.",2017-10-09T10:32:05Z,1507545125923.0,Terima kasih telah menggunakan KAI Access. Kami senang dapat membantu dan memudahkan Anda dalam mengatur rencana perjalanan Anda. Terkait dengan fitur Cancel maupun Reschedule akan kami jadikan sebagai masukan untuk pengembangan selanjutnya. Terima kasih telah meluangkan waktu Anda untuk memberikan tanggapan kepada kami.,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOE7fy0VrQxWdJUchEhDrrzoIcxG7MSXRe0fTo8E7NUclakUgjtWK_l0Gi6u-UDsIQRKyQPZfYH-KMjw&corpus=PUBLIC_REVIEWS
5,5,5,com.kai.kaiticketing,88.0,4.4.7,id,1820,9,1630465202465,2021-09-01T03:00:02Z,1630465202465,5,,,,,,
6,6,6,com.kai.kaiticketing,93.0,4.6.0,en,begonia,9,1562338844911,2021-09-01T03:46:22Z,1630467982293,5,,Sudah banyak perbaikan.. mantab,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOEKin5xepYs94pUmlY4iuUc0bexm2pTa6fvyEx7H0o5Nj7k7Qd8qHpjcE-dOTGe8dBdOSiQyaoeTor_&corpus=PUBLIC_REVIEWS
7,7,7,com.kai.kaiticketing,93.0,4.6.0,id,lancelot,9,1630468762747,2021-09-01T03:59:22Z,1630468762747,1,,Aplikasi sangat jelek ancur. Bagus beli di Shopee/Bukalapak,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOFS5kGT0PaKOTPbP_fGnf32nZRBLKaY3GMw0BTFuAiPjrA6L88lLHa8J9Ks03SAYpoDvH_JDppsbaFJ&corpus=PUBLIC_REVIEWS
8,8,8,com.kai.kaiticketing,93.0,4.6.0,id,j4primelte,9,1630469366843,2021-09-01T04:09:26Z,1630469366843,3,,Bagus,,,,http://play.google.com/console/developers/7684598256376423497/app/4972691018625421883/user-feedback/review-details?reviewId=gp:AOqpTOFx8aDuS2ugc3zAlTZNPkaWG5H_y0NDjTmIo0P8Pu5ximCoAr-1C13otOPlWmIddD34lNckKeCM4bL7&corpus=PUBLIC_REVIEWS
9,9,9,com.kai.kaiticketing,91.0,4.5.0,id,ginkgo,9,1630475237028,2021-09-01T05:47:17Z,1630475237028,4,,,,,,
